<<<<<<< HEAD
﻿timestamp,event_type,symbol_pair,side,quantity,entry_price,exit_price,pnl,equity_at_event,event_id
=======
timestamp,event_type,symbol_pair,side,quantity,entry_price,exit_price,pnl,equity_at_event,event_id
>>>>>>> origin/main
2026-02-22T17:07:28.597829,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-02-22T17:07:28.597835_PAIR_0
2026-02-22T17:07:28.598795,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T17:07:28.598801_PAIR_1
2026-02-22T17:07:28.599656,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T17:07:28.599659_PAIR_2
2026-02-22T17:07:28.603284,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T17:07:28.603287_PAIR_1
2026-02-22T17:07:28.603916,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-02-22T17:07:28.603921_PAIR_1
2026-02-22T17:07:28.604830,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T17:07:28.604833_PAIR_2
2026-02-22T17:07:28.605478,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-02-22T17:07:28.605495_PAIR_2
2026-02-22T17:12:57.700298,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-02-22T17:12:57.700308_PAIR_0
2026-02-22T17:12:57.701354,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T17:12:57.701362_PAIR_1
2026-02-22T17:12:57.702255,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T17:12:57.702260_PAIR_2
2026-02-22T17:12:57.707500,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T17:12:57.707504_PAIR_1
2026-02-22T17:12:57.708348,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-02-22T17:12:57.708353_PAIR_1
2026-02-22T17:12:57.709148,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T17:12:57.709152_PAIR_2
2026-02-22T17:12:57.710088,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-02-22T17:12:57.710093_PAIR_2
2026-02-22T17:42:37.309604,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-02-22T17:42:37.309609_PAIR_0
2026-02-22T17:42:37.310324,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T17:42:37.310329_PAIR_1
2026-02-22T17:42:37.311151,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T17:42:37.311154_PAIR_2
2026-02-22T17:42:37.314927,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T17:42:37.314930_PAIR_1
2026-02-22T17:42:37.315665,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-02-22T17:42:37.315670_PAIR_1
2026-02-22T17:42:37.316428,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T17:42:37.316431_PAIR_2
2026-02-22T17:42:37.317128,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-02-22T17:42:37.317132_PAIR_2
2026-02-22T18:01:21.605566,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-02-22T18:01:21.605573_PAIR_0
2026-02-22T18:01:21.606366,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T18:01:21.606371_PAIR_1
2026-02-22T18:01:21.607014,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T18:01:21.607017_PAIR_2
2026-02-22T18:01:21.610536,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T18:01:21.610540_PAIR_1
2026-02-22T18:01:21.611154,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-02-22T18:01:21.611159_PAIR_1
2026-02-22T18:01:21.611860,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T18:01:21.611863_PAIR_2
2026-02-22T18:01:21.612476,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-02-22T18:01:21.612480_PAIR_2
2026-02-22T19:38:19.031950,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-02-22T19:38:19.031956_PAIR_0
2026-02-22T19:38:19.032892,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T19:38:19.032897_PAIR_1
2026-02-22T19:38:19.033729,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T19:38:19.033732_PAIR_2
2026-02-22T19:38:19.037959,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T19:38:19.037963_PAIR_1
2026-02-22T19:38:19.038634,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-02-22T19:38:19.038639_PAIR_1
2026-02-22T19:38:19.039264,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T19:38:19.039267_PAIR_2
2026-02-22T19:38:19.039878,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-02-22T19:38:19.039882_PAIR_2
2026-02-22T21:06:51.212776,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-02-22T21:06:51.212782_PAIR_0
2026-02-22T21:06:51.213444,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T21:06:51.213448_PAIR_1
2026-02-22T21:06:51.214162,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T21:06:51.214165_PAIR_2
2026-02-22T21:06:51.217516,TRADE_ENTRY,PAIR_1,long,10.0,100.0,,,100000.0,2026-02-22T21:06:51.217519_PAIR_1
2026-02-22T21:06:51.218093,TRADE_EXIT,PAIR_1,,10.0,,95.0,-50.0,100000.0,2026-02-22T21:06:51.218098_PAIR_1
2026-02-22T21:06:51.218719,TRADE_ENTRY,PAIR_2,long,10.0,100.0,,,100000.0,2026-02-22T21:06:51.218721_PAIR_2
2026-02-22T21:06:51.219307,TRADE_EXIT,PAIR_2,,10.0,,98.0,-20.0,100000.0,2026-02-22T21:06:51.219311_PAIR_2
2026-02-22T22:21:35.062984,TRADE_ENTRY,PAIR_0,long,10.0,100.0,,,100000.0,2026-02-22T22:21:35.062991_PAIR_0
